instanceID, capacity, shortageCost, solutionValue, solutionTimeMs, statesExplored,instance,n_items,coeff_of_var
687966dfc0084bfd71035a6370c6d40385142fb002f59c6a6eb3ef9fca6e8d25,277.6714737200333,10.0,236.49212430379035,6771,49935,P05_INVERSE_STRONGLY_CORRELATED,25,0.1
535d0547e4a4e68bf75918f654a7443f6b26000fe1a7e7a9e21454808890842e,369.1385048902149,10.0,320.6867804112728,5878,47688,P05_INVERSE_STRONGLY_CORRELATED,25,0.1
92a21b12e1130a4c58b53a5d19c2b41be96ef54a3e138fd607a529a3a8bb5b6c,611.4826508006993,10.0,538.9342547373085,8571,55290,P05_INVERSE_STRONGLY_CORRELATED,25,0.1
8d0f2261919653a104728b653e1bd85375d7f7df02378e2c4be7007c682413b5,578.4085908285311,10.0,504.20589533178656,5831,44721,P05_INVERSE_STRONGLY_CORRELATED,25,0.1
b73aa723a815362ccf9244811da529e26c190d199ad728413b840313a9b8c4fc,797.8006805373685,10.0,701.3486913255387,7566,49831,P05_INVERSE_STRONGLY_CORRELATED,25,0.1
7156246bea6fb0532c439353a1d70b5347a6200a02b15a786ced0986ca853601,981.5422013981216,10.0,856.173628741149,8334,50636,P05_INVERSE_STRONGLY_CORRELATED,25,0.1
7824fcededac7bd1cb498c92259f0a73d62399be0be73417228c897d360a8b12,1197.8186719776793,10.0,1034.0986128695506,9287,51070,P05_INVERSE_STRONGLY_CORRELATED,25,0.1
77f523609457bdb21a33712665fcac76af9cf56372dfd05971e39c6379e45144,1133.199585819271,10.0,970.8963050639412,7629,47066,P05_INVERSE_STRONGLY_CORRELATED,25,0.1
8159882a0ebf76f1da0c1d4e01a6f53adc6a81c15029c1da70ae30a9953ffad6,1243.1444290708848,10.0,1041.5104416805884,7718,45706,P05_INVERSE_STRONGLY_CORRELATED,25,0.1
0d865fa2095b562a8d147163a489ab39560583c2f70f7c649263abd4e27a9d1b,135.3585912258334,10.0,101.05891106080684,30115,106036,P05_INVERSE_STRONGLY_CORRELATED,25,0.2
d10d77e2f0effb5bd5de07c98a3ebea1aba5bd3ecf87c17fa4978c56c4637250,277.6714737200333,10.0,230.15209687576257,32158,108451,P05_INVERSE_STRONGLY_CORRELATED,25,0.2
07bb22158e2694e6e18329736c7100501a8904bc0fc702b813853a509372ee2e,369.1385048902149,10.0,313.812432311344,26439,103526,P05_INVERSE_STRONGLY_CORRELATED,25,0.2
01197dd6a5a9bee797eb4a67ea86f2593d6ea409307b78855104f65c29389959,611.4826508006993,10.0,532.1334786493494,39120,120140,P05_INVERSE_STRONGLY_CORRELATED,25,0.2
635bd4b5cbab9d891f3c8f4f58bac84923533f86c0463315e622b5ae2495cf3e,578.4085908285311,10.0,497.8900851629589,24589,97115,P05_INVERSE_STRONGLY_CORRELATED,25,0.2
dd20c906f94d3b2ead41ff769e51893e04edbfb7824857ab2ff1ad95f84ae968,797.8006805373685,10.0,694.8667445461282,33096,108226,P05_INVERSE_STRONGLY_CORRELATED,25,0.2
42c72392e2d9bdfe71edc74c38738928b745da9c5d585b07cc418ceae262bec8,981.5422013981216,10.0,850.3222046551581,36864,110050,P05_INVERSE_STRONGLY_CORRELATED,25,0.2
60f6e5117534cb6cc1e01e15dfce7531f48f3c89a0977cb223076fc4cbe5e65f,1197.8186719776793,10.0,1028.2772278838115,40887,110995,P05_INVERSE_STRONGLY_CORRELATED,25,0.2
0bf18dc0d15b63b361c7af821937023706a37c556e0d844002df976323e633d4,1133.199585819271,10.0,966.0305062821284,32191,102220,P05_INVERSE_STRONGLY_CORRELATED,25,0.2
fb41b2b07d202973787b53b4a3d9fa3b4e88b86ef17930ac453f85ce015bb70e,1243.1444290708848,10.0,1037.230174165772,32329,99222,P05_INVERSE_STRONGLY_CORRELATED,25,0.2
97f808d409a363b1480aa9804a8eadda3e63864312d15c850cc2fb042e78b260,112.63131849856067,10.0,163.34077604500533,3090,22465,P05_ALMOST_STRONGLY_CORRELATED,25,0.1
461f61db42a024a2c1b0ae28061b6efef63cc8a02f52286e124595510dab1c16,200.6377911389312,10.0,313.3866057732429,2578,16583,P05_ALMOST_STRONGLY_CORRELATED,25,0.1
f4145e7f3c85319cdfec802699287d89384254dca5e2d460d41a5504614e6f9b,278.8633363153005,10.0,408.2254086850716,2207,15305,P05_ALMOST_STRONGLY_CORRELATED,25,0.1
